,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity
0,LOG,2018-12-24T19:08:28.046Z,GRAVITY,wgv,wgv,wgv,bob_46580,77,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
1,LOG,2018-12-24T19:11:53.391Z,GRAVITY,wgv,wgv,wgv,bob_46580,77,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
2,LOG,2018-12-24T19:46:09.055Z,GRAVITY,wgv,wgv,wgv,bob_46580,77,seq,,,,OB paused at 2018-12-24T19:46:09,0,0,,
3,LOG,2018-12-23T15:23:41.364Z,GRAVITY,wgv,wgv,wgv,bob_ins,241,seq,,,,OB finished (TERMINATED) in 7187 seconds at 2018-12-23T15:23:41,0,0,,
4,LOG,2018-12-19T00:09:17.992Z,GRAVITY,wgv,wgv,wgv,bob_39402,88,seq,,,,OB started at 2018-12-19T00:09:17,0,0,,
5,LOG,2018-12-25T01:28:44.686Z,GRAVITY,wgv,wgv,wgv,bob_46580,77,seq,,,,OB finished (TERMINATED) in 1338 seconds at 2018-12-25T01:28:44,0,0,,
6,LOG,2018-12-25T01:28:51.580Z,GRAVITY,wgv,wgv,wgv,bob_46580,77,seq,,,,OB started at 2018-12-25T01:28:51,0,0,,
7,LOG,2018-12-25T01:50:03.372Z,GRAVITY,wgv,wgv,wgv,bob_46580,77,seq,,,,OB finished (TERMINATED) in 1272 seconds at 2018-12-25T01:50:03,0,0,,
8,LOG,2018-12-18T01:37:59.748Z,GRAVITY,wgv,wgv,wgv,bob_7875,47,seq,,,,OB started at 2018-12-18T01:37:59,0,0,,
9,LOG,2018-12-21T01:59:01.313Z,GRAVITY,wgv,wgv,wgv,bob_7008,154,seq,,,,OB finished (TERMINATED) in 366 seconds at 2018-12-21T01:59:01,0,0,,
10,LOG,2018-12-21T01:52:19.551Z,GRAVITY,wgv,wgv,wgv,bob_7008,154,seq,,,,OB finished (TERMINATED) in 3190 seconds at 2018-12-21T01:52:19,0,0,,
11,LOG,2018-12-21T02:23:20.280Z,GRAVITY,wgv,wgv,wgv,bob_7008,154,seq,,,,OB continued at 2018-12-21T02:23:20,0,0,,
12,LOG,2018-12-21T02:45:46.323Z,GRAVITY,wgv,wgv,wgv,bob_7008,154,seq,,,,OB finished (TERMINATED) in 2797 seconds at 2018-12-21T02:45:46,0,0,,
13,LOG,2018-12-21T02:46:01.808Z,GRAVITY,wgv,wgv,wgv,bob_7008,154,seq,,,,OB started at 2018-12-21T02:46:01,0,0,,
14,LOG,2018-12-24T01:32:04.367Z,GRAVITY,wgv,wgv,wgv,bob_25546,148,seq,,,,ACK ABORT (red),0,0,,
15,LOG,2018-12-24T01:32:04.377Z,GRAVITY,wgv,wgv,wgv,bob_25546,148,seq,,,,OB aborted after 663 seconds at 2018-12-24T01:32:04,0,0,,
16,LOG,2018-12-24T01:32:39.043Z,GRAVITY,wgv,wgv,wgv,bob_25546,148,seq,,,,OB started at 2018-12-24T01:32:39,0,0,,
17,LOG,2018-12-19T01:38:29.779Z,GRAVITY,wgv,wgv,wgv,bob_39402,88,seq,,,,(OBS.NAME: SCI_hv2112_LR // OBS.ID: 2226649),0,0,,
18,LOG,2018-12-19T01:41:15.364Z,GRAVITY,wgv,wgv,wgv,bob_39402,88,seq,,,,OB started at 2018-12-19T01:41:15,0,0,,
19,LOG,2018-12-19T01:41:15.364Z,GRAVITY,wgv,wgv,wgv,bob_39402,88,seq,,,,(OBS.NAME: SCI_hv11423_LR // OBS.ID: 2226652),0,0,,
20,LOG,2018-12-24T01:20:16.469Z,GRAVITY,wgv,wgv,wgv,bob_25546,148,seq,,,,ACK ABORT (red),0,0,,
