,@timestamp,logtype,system,loghost,hostname,envname,procname,procid,module,keywname,keywvalue,keywmask,logtext,errstack,errstackidx,errlocation,errseverity,keymask,csvfile
2171,2020-02-19T14:08:43.211Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,84,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-19.csv
2172,2020-02-13T22:36:54.282Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,94,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2173,2020-02-13T22:37:41.011Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,OB aborted after 627 seconds at 2020-02-13T22:37:40,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2174,2020-02-14T12:52:10.572Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_621,177,seq,,,,(OBS.NAME: Distortion-SR // OBS.ID: 200347888),0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2175,2020-02-14T12:52:14.113Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_621,177,seq,,,,... ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 3316 OBS.GRP 0 OBS.ID 200347888 OBS.MOON.DIST 30 OBS.MOON.FLI 1.0 OBS.NAME Distortion-SR OBS.OBSERVER UNKNOWN,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2176,2020-02-14T12:59:43.516Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_621,177,seq,,,,... ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 3316 OBS.GRP 0 OBS.ID 200347888 OBS.MOON.DIST 30 OBS.MOON.FLI 1.0 OBS.NAME Distortion-SR OBS.OBSERVER UNKNOWN,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2177,2020-02-13T23:54:13.482Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279187 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2178,2020-02-13T23:54:13.516Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,94,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279187 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2179,2020-02-13T23:55:11.907Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,94,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279187 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2180,2020-02-13T23:56:03.264Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279187 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2181,2020-02-13T23:56:03.300Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,94,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279187 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2182,2020-02-14T00:03:35.232Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,OB started at 2020-02-14T00:03:35,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2183,2020-02-14T00:08:46.822Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279199 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2184,2020-02-14T00:09:48.806Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279199 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2185,2020-02-14T00:09:48.839Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,94,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279199 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2186,2020-02-14T13:20:33.905Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_621,177,seq,,,,... ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 3316 OBS.GRP 0 OBS.ID 200347888 OBS.MOON.DIST 30 OBS.MOON.FLI 1.0 OBS.NAME Distortion-SR OBS.OBSERVER UNKNOWN,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2187,2020-02-14T00:10:45.211Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,94,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 599 OBS.GRP 0 OBS.ID 200279199 OBS.NAME Photom-std OBS.OBSERVER UNKNOWN OBS.PI-COI.ID 70033",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2188,2020-02-15T08:58:28.046Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,223,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2189,2020-02-14T13:25:43.558Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_621,177,seq,,,,... ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 3316 OBS.GRP 0 OBS.ID 200347888 OBS.MOON.DIST 30 OBS.MOON.FLI 1.0 OBS.NAME Distortion-SR OBS.OBSERVER UNKNOWN,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2190,2020-02-14T00:21:37.041Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,109,seq,,,,... ESO-VLT-DIC.OBS-2.0 OBS.EXECTIME 1081 OBS.GRP 0 OBS.ID 200278025 OBS.MOON.DIST 30 OBS.MOON.FLI 1.0 OBS.NAME PMOS_NGC2024 OBS.OBSERVER UNKNOWN,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-13.csv
2191,2020-02-16T10:46:48.693Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2192,2020-02-16T10:49:45.284Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2193,2020-02-16T10:50:31.288Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2194,2020-02-15T09:08:18.279Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,209,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2195,2020-02-15T09:09:38.233Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,223,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2196,2020-02-15T09:17:33.072Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,209,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2197,2020-02-15T09:18:06.060Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,209,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2198,2020-02-16T10:55:30.289Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2199,2020-02-16T10:55:53.280Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2200,2020-02-15T09:20:18.110Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,209,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2201,2020-02-15T09:22:31.189Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,223,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
2202,2020-02-15T09:23:04.064Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,209,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-14.csv
