,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
0,LOG,2018-08-30T23:38:24.210Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB paused at 2018-08-30T23:38:24,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
1,LOG,2018-08-31T00:04:34.202Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB continued at 2018-08-31T00:04:34,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
2,LOG,2018-09-02T08:39:46.978Z,GRAVITY,wgv,wgv,wgv,bob_37620,113,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/09/log_wgv.2018-09-01.csv
3,LOG,2018-08-30T02:56:09.337Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,OB aborted after 19 seconds at 2018-08-30T02:55:55,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
4,LOG,2018-08-30T02:57:26.576Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,OB started at 2018-08-30T02:57:26,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
5,LOG,2018-08-30T02:57:26.576Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,(OBS.NAME: SCIENCE // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
6,LOG,2018-08-30T02:58:34.064Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,(OBS.NAME: SCIENCE // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
7,LOG,2018-08-30T02:58:59.380Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,OB aborted after 17 seconds at 2018-08-30T02:58:51,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
8,LOG,2018-08-30T02:59:10.240Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,(OBS.NAME: SCIENCE // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
9,LOG,2018-08-30T02:59:38.382Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,OB aborted after 20 seconds at 2018-08-30T02:59:30,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
10,LOG,2018-08-30T22:52:06.496Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB finished (TERMINATED) in 6277 seconds at 2018-08-30T22:52:06,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
11,LOG,2018-08-30T23:25:50.783Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB started at 2018-08-30T23:25:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
12,LOG,2018-08-30T23:29:52.780Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB continued at 2018-08-30T23:29:52,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
13,LOG,2018-09-02T07:53:21.363Z,GRAVITY,wgv,wgv,wgv,bob_37620,113,seq,,,,OB aborted after 11269 seconds at 2018-09-02T07:53:18,0,0,,,/datalake/processeddata/csv-vltlogs/2018/09/log_wgv.2018-09-01.csv
14,LOG,2018-08-31T01:01:36.911Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB continued at 2018-08-31T01:01:36,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
15,LOG,2018-08-30T20:48:04.561Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB finished (TERMINATED) in 450 seconds at 2018-08-30T20:48:04,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
16,LOG,2018-08-30T20:56:36.549Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB aborted after 350 seconds at 2018-08-30T20:56:07,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
17,LOG,2018-08-30T21:06:55.465Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB started at 2018-08-30T21:06:55,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
18,LOG,2018-08-30T21:06:55.465Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
19,LOG,2018-08-30T20:50:17.746Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
20,LOG,2018-09-05T19:26:22.569Z,GRAVITY,wgv,wgv,wgv,bob_20058,136,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/09/log_wgv.2018-09-05.csv
21,LOG,2018-08-31T00:19:46.483Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB continued at 2018-08-31T00:19:46,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
22,LOG,2018-08-30T21:07:29.161Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,OB started at 2018-08-30T21:07:29,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
23,LOG,2018-08-30T21:07:29.161Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
24,LOG,2018-09-02T14:31:39.942Z,GRAVITY,wgv,wgv,wgv,bob_37620,113,seq,,,,OB started at 2018-09-02T14:31:39,0,0,,,/datalake/processeddata/csv-vltlogs/2018/09/log_wgv.2018-09-02.csv
25,LOG,2018-08-30T23:16:15.008Z,GRAVITY,wgv,wgv,wgv,bob_25749,252,seq,,,,ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-30.csv
26,LOG,2018-08-30T00:17:47.247Z,GRAVITY,wgv,wgv,wgv,bob_4084,69,seq,,,,OB started at 2018-08-30T00:17:47,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
27,LOG,2018-08-29T19:14:01.465Z,GRAVITY,wgv,wgv,wgv,bob_37885,86,seq,,,,OB paused at 2018-08-29T19:14:01,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
28,LOG,2018-08-29T19:16:03.787Z,GRAVITY,wgv,wgv,wgv,bob_37885,86,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
29,LOG,2018-08-29T19:21:50.582Z,GRAVITY,wgv,wgv,wgv,bob_37885,86,seq,,,,ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-29.csv
