,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity
0,LOG,2018-12-23T04:35:10.286Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: CAL_HD75063_A // OBS.ID: 2067014),0,0,,
1,LOG,2018-12-23T09:10:25.938Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T09:10:25,0,0,,
2,LOG,2018-12-23T06:47:15.303Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 1216 seconds at 2018-12-23T06:47:15,0,0,,
3,LOG,2018-12-23T06:52:12.194Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,ERROR: ACK ABORT (red),0,0,,
4,LOG,2018-12-23T08:55:33.562Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T08:55:33,0,0,,
5,LOG,2018-12-23T07:56:08.547Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 1277 seconds at 2018-12-23T07:56:08,0,0,,
6,LOG,2018-12-23T07:56:23.582Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T07:56:23,0,0,,
7,LOG,2018-12-23T08:15:37.851Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 1154 seconds at 2018-12-23T08:15:37,0,0,,
8,LOG,2018-12-23T07:56:23.582Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: CAL_betpyx_HR // OBS.ID: 2230518),0,0,,
9,LOG,2018-12-23T08:15:48.551Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T08:15:48,0,0,,
10,LOG,2018-12-23T08:25:58.129Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB continued at 2018-12-23T08:25:58,0,0,,
11,LOG,2018-12-23T04:35:10.285Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T04:35:10,0,0,,
12,LOG,2018-12-23T09:29:52.436Z,GRAVITY,wgv,wgv,wgv,bob_ins,241,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
13,LOG,2018-12-23T08:40:17.723Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T08:40:17,0,0,,
14,LOG,2018-12-23T08:55:27.835Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 910 seconds at 2018-12-23T08:55:27,0,0,,
15,LOG,2018-12-23T08:55:33.562Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: SCI_vycma_HR // OBS.ID: 2230545),0,0,,
16,LOG,2018-12-23T09:09:53.392Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 860 seconds at 2018-12-23T09:09:53,0,0,,
17,LOG,2018-12-23T09:15:14.782Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 289 seconds at 2018-12-23T09:15:14,0,0,,
18,LOG,2018-12-23T04:11:33.227Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: SCI_IRAS08544-4431_A // OBS.ID: 2066533),0,0,,
19,LOG,2018-12-23T04:55:58.930Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 1248 seconds at 2018-12-23T04:55:58,0,0,,
20,LOG,2018-12-23T06:08:23.961Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 953 seconds at 2018-12-23T06:08:23,0,0,,
21,LOG,2018-12-23T07:34:51.819Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T07:34:51,0,0,,
22,LOG,2018-12-23T03:42:57.388Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 3453 seconds at 2018-12-23T03:42:57,0,0,,
23,LOG,2018-12-23T04:34:51.575Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 1398 seconds at 2018-12-23T04:34:51,0,0,,
24,LOG,2018-12-23T05:50:23.514Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T05:50:23,0,0,,
25,LOG,2018-12-23T05:50:23.514Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: SCI_vycma_HR // OBS.ID: 2230545),0,0,,
26,LOG,2018-12-23T05:52:02.180Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,ACK ABORT (red),0,0,,
27,LOG,2018-12-23T06:08:29.698Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: SCI_vycma_HR // OBS.ID: 2230545),0,0,,
28,LOG,2018-12-23T06:26:59.923Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T06:26:59,0,0,,
29,LOG,2018-12-23T06:52:12.203Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB aborted after 295 seconds at 2018-12-23T06:52:12,0,0,,
30,LOG,2018-12-23T06:52:16.207Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T06:52:16,0,0,,
31,LOG,2018-12-23T07:34:51.819Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: CAL_S1_EHA_cont2 // OBS.ID: 2066864),0,0,,
32,LOG,2018-12-23T06:26:49.902Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB finished (TERMINATED) in 1100 seconds at 2018-12-23T06:26:49,0,0,,
33,LOG,2018-12-23T06:26:59.923Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,(OBS.NAME: CAL_S1_EHA_cont1 // OBS.ID: 2066853),0,0,,
34,LOG,2018-12-23T05:52:02.188Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB aborted after 99 seconds at 2018-12-23T05:52:02,0,0,,
35,LOG,2018-12-23T05:52:30.714Z,GRAVITY,wgv,wgv,wgv,bob_9247,81,seq,,,,OB started at 2018-12-23T05:52:30,0,0,,
