,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity
0,LOG,2018-11-29T20:39:24.048Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0.0,0.0,,
1,LOG,2018-11-29T23:45:41.348Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB started at 2018-11-29T23:45:41,0.0,0.0,,
2,LOG,2018-11-29T21:52:42.232Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB finished (TERMINATED) in 4398 seconds at 2018-11-29T21:52:42,0.0,0.0,,
3,LOG,2018-11-29T18:52:59.314Z,GRAVITY,wgv,wgv,wgv,bob_ins,171.0,seq,,,,OB started at 2018-11-29T18:52:59,0.0,0.0,,
4,LOG,2018-11-29T18:55:39.704Z,GRAVITY,wgv,wgv,wgv,bob_ins,171.0,seq,,,,OB finished (TERMINATED) in 160 seconds at 2018-11-29T18:55:39,0.0,0.0,,
5,LOG,2018-11-29T15:12:38.491Z,GRAVITY,wgv,wgv,wgv,bob_ins,171.0,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0.0,0.0,,
6,LOG,2018-11-29T15:12:38.491Z,GRAVITY,wgv,wgv,wgv,bob_ins,171.0,seq,,,,OB started at 2018-11-29T15:12:38,0.0,0.0,,
7,LOG,2018-11-29T23:45:41.348Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,(OBS.NAME: GJ65_Nov29_2 // OBS.ID: 2217741),0.0,0.0,,
8,LOG,2018-11-29T16:02:57.710Z,GRAVITY,wgv,wgv,wgv,bob_ins,171.0,seq,,,,OB finished (TERMINATED) in 3019 seconds at 2018-11-29T16:02:57,0.0,0.0,,
9,LOG,2018-11-29T18:52:59.314Z,GRAVITY,wgv,wgv,wgv,bob_ins,171.0,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0.0,0.0,,
10,LOG,2018-11-29T20:39:24.048Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB started at 2018-11-29T20:39:24,0.0,0.0,,
11,LOG,2018-11-30T01:17:03.860Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB finished (TERMINATED) in 5482 seconds at 2018-11-30T01:17:03,0.0,0.0,,
12,LOG,2018-11-30T01:17:21.257Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,(OBS.NAME: GJ65_Nov29_2 // OBS.ID: 2217741),0.0,0.0,,
13,LOG,2018-11-30T01:27:32.863Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB finished (TERMINATED) in 611 seconds at 2018-11-30T01:27:32,0.0,0.0,,
14,LOG,2018-11-30T04:15:58.698Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB finished (TERMINATED) in 1405 seconds at 2018-11-30T04:15:58,0.0,0.0,,
15,LOG,2018-11-30T03:52:33.055Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,(OBS.NAME: GJ65_Nov29 // OBS.ID: 2217714),0.0,0.0,,
16,LOG,2018-11-30T03:01:03.417Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,OB started at 2018-11-30T03:01:03,0.0,0.0,,
17,LOG,2018-11-30T04:16:59.787Z,GRAVITY,wgv,wgv,wgv,bob_25782,178.0,seq,,,,(OBS.NAME: GJ65_Nov29 // OBS.ID: 2217714),0.0,0.0,,
