,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
205,LOG,2018-01-28T03:19:40.614Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T03:19:40,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
206,LOG,2018-01-30T01:16:50.181Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB continued at 2018-01-30T01:16:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
207,LOG,2018-01-27T07:47:53.800Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB finished (TERMINATED) in 2346 seconds at 2018-01-27T07:47:53,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
208,LOG,2018-01-27T07:48:01.804Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,(OBS.NAME: CAL_HD80404 // OBS.ID: 1818566),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
209,LOG,2018-01-30T01:29:26.979Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB continued at 2018-01-30T01:29:26,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
210,LOG,2018-01-30T01:31:24.739Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB paused at 2018-01-30T01:31:24,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
211,LOG,2018-01-30T01:34:41.670Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB finished (TERMINATED) in 6666 seconds at 2018-01-30T01:34:41,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
212,LOG,2018-01-26T22:02:10.973Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB continued at 2018-01-26T22:02:10,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
213,LOG,2018-01-31T05:21:39.123Z,GRAVITY,wgv,wgv,wgv,bob_3493,51,seq,,,,OB started at 2018-01-31T05:21:39,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
214,LOG,2018-01-27T07:08:47.835Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,(OBS.NAME: SCI_RCar // OBS.ID: 1818563),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
215,LOG,2018-02-05T16:17:58.197Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,OB finished (TERMINATED) in 437 seconds at 2018-02-05T16:17:58,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
216,LOG,2018-01-27T19:40:56.951Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-27T19:40:56,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
217,LOG,2018-01-27T19:40:56.951Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
218,LOG,2018-01-30T15:21:26.857Z,GRAVITY,wgv,wgv,wgv,bob_3493,51,seq,,,,OB started at 2018-01-30T15:21:26,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
219,LOG,2018-01-30T00:07:29.567Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB paused at 2018-01-30T00:07:29,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
220,LOG,2018-01-30T00:11:45.907Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB paused at 2018-01-30T00:11:45,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
221,LOG,2018-01-30T00:31:12.496Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB paused at 2018-01-30T00:31:12,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
222,LOG,2018-01-28T19:08:19.968Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
223,LOG,2018-02-05T16:08:23.964Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,OB started at 2018-02-05T16:08:23,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
224,LOG,2018-02-05T16:09:49.345Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,"Parallel : WaitForAll failed, reason : ACK ABORT (red)",0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
225,LOG,2018-02-05T16:09:50.628Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,OB aborted after 87 seconds at 2018-02-05T16:09:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
226,LOG,2018-02-05T16:10:41.992Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
227,LOG,2018-01-29T05:42:46.564Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T05:42:46,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
228,LOG,2018-01-29T05:42:46.564Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,(OBS.NAME: SCI_HD45677_GRAVITY_A0B2C1D0_MEDIUM-COMBINED_FT // OBS.ID: 1797296),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
229,LOG,2018-01-29T05:42:51.862Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
230,LOG,2018-01-29T05:43:11.331Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T05:43:11,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
231,LOG,2018-01-31T04:52:02.223Z,GRAVITY,wgv,wgv,wgv,bob_3493,51,seq,,,,OB started at 2018-01-31T04:52:02,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
