,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,keywmask
30,LOG,2019-01-30T18:03:54.252Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
31,LOG,2019-01-30T18:21:11.802Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB started at 2019-01-30T18:21:11,0,0,,,
32,LOG,2019-01-30T18:22:03.564Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB started at 2019-01-30T18:22:03,0,0,,,
33,LOG,2019-01-30T19:20:33.844Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB finished (TERMINATED) in 2885 seconds at 2019-01-30T19:20:33,0,0,,,
34,LOG,2019-01-30T23:55:29.884Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB aborted after 95 seconds at 2019-01-30T23:55:13,0,0,,,
35,LOG,2019-01-31T00:12:07.913Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-31T00:12:07,0,0,,,
36,LOG,2019-01-31T00:12:07.913Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: M05_HD26820_MED_SPLIT // OBS.ID: 200454097),0,0,,,
37,LOG,2019-01-31T00:15:10.819Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-31T00:15:10,0,0,,,
38,LOG,2019-01-30T23:53:38.703Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-30T23:53:38,0,0,,,
39,LOG,2019-01-30T21:45:34.672Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-30T21:45:34,0,0,,,
40,LOG,2019-01-29T21:13:35.922Z,GRAVITY,wgv,wgv,wgv,bob_14914,28,seq,,,,OB started at 2019-01-29T21:13:35,0,0,,,
41,LOG,2019-01-29T21:13:35.922Z,GRAVITY,wgv,wgv,wgv,bob_14914,28,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
42,LOG,2019-01-30T07:16:22.671Z,GRAVITY,wgv,wgv,wgv,bob_ins,128,seq,,,,OB started at 2019-01-30T07:16:22,0,0,,,
43,LOG,2019-01-31T08:05:47.063Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,OB finished (TERMINATED) in 8484 seconds at 2019-01-31T08:05:47,0,0,,,
44,LOG,2019-01-28T12:11:05.277Z,GRAVITY,wgv,wgv,wgv,bob_ins,98,seq,,,,OB started at 2019-01-28T12:11:05,0,0,,,
45,LOG,2019-01-31T05:43:05.326Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
46,LOG,2019-01-31T03:45:21.101Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB finished (TERMINATED) in 8964 seconds at 2019-01-31T03:45:21,0,0,,,
47,LOG,2019-01-27T12:47:58.751Z,GRAVITY,wgv,wgv,wgv,bob_ins,209,seq,,,,OB finished (TERMINATED) in 23629 seconds at 2019-01-27T12:47:58,0,0,,,
48,LOG,2019-01-29T01:18:37.364Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1801 seconds at 2019-01-29T01:18:37,0,0,,,
49,LOG,2019-01-29T01:18:52.619Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: CAL_HD_44945_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265418),0,0,,,
50,LOG,2019-01-30T20:58:51.138Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,ACK ABORT (red),0,0,,,
51,LOG,2019-01-30T20:59:07.905Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-30T20:59:07,0,0,,,
52,LOG,2019-01-28T01:11:43.305Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB finished (TERMINATED) in 1951 seconds at 2019-01-28T01:11:43,0,0,,,
53,LOG,2019-01-30T23:53:38.703Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: M05_HD26820_MED_SPLIT // OBS.ID: 200454097),0,0,,,
54,LOG,2019-01-30T18:32:28.817Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB started at 2019-01-30T18:32:28,0,0,,,
55,LOG,2019-01-29T01:41:32.397Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1360 seconds at 2019-01-29T01:41:32,0,0,,,
56,LOG,2019-01-29T02:30:58.438Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1313 seconds at 2019-01-29T02:30:58,0,0,,,
57,LOG,2019-01-29T02:33:45.973Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB aborted after 5 seconds at 2019-01-29T02:32:41,0,0,,,
58,LOG,2019-01-29T02:36:47.486Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB aborted after 1 seconds at 2019-01-29T02:36:41,0,0,,,
59,LOG,2019-01-29T02:49:07.100Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T02:49:07,0,0,,,
60,LOG,2019-01-30T20:59:07.905Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
61,LOG,2019-01-30T20:58:10.390Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB aborted after 1209 seconds at 2019-01-30T20:58:10,0,0,,,
62,LOG,2019-01-30T20:58:16.608Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-30T20:58:16,0,0,,,
63,LOG,2019-01-31T17:30:28.602Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,OB started at 2019-01-31T17:30:28,0,0,,,
64,LOG,2019-01-31T17:30:28.603Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
65,LOG,2019-01-31T13:33:09.724Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,OB started at 2019-01-31T13:33:09,0,0,,,
66,LOG,2019-01-31T15:44:40.602Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,OB finished (TERMINATED) in 7891 seconds at 2019-01-31T15:44:40,0,0,,,
67,LOG,2019-01-31T18:57:11.171Z,GRAVITY,wgv,wgv,wgv,bob_ins,149,seq,,,,OB finished (TERMINATED) in 5203 seconds at 2019-01-31T18:57:11,0,0,,,
68,LOG,2019-01-31T20:17:12.385Z,GRAVITY,wgv,wgv,wgv,bob_11013,98,seq,,,,ACK ABORT (red),0,0,,,
69,LOG,2019-01-31T20:10:38.045Z,GRAVITY,wgv,wgv,wgv,bob_11013,98,seq,,,,OB started at 2019-01-31T20:10:38,0,0,,,
70,LOG,2019-01-31T20:10:38.045Z,GRAVITY,wgv,wgv,wgv,bob_11013,98,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
71,LOG,2019-01-30T20:10:24.866Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
72,LOG,2019-01-30T17:40:34.139Z,GRAVITY,wgv,wgv,wgv,bob_ins,128,seq,,,,OB aborted after 1528 seconds at 2019-01-30T17:34:27,0,0,,,
73,LOG,2019-01-30T17:55:31.781Z,GRAVITY,wgv,wgv,wgv,bob_15075,94,seq,,,,ACK ABORT (red),0,0,,,
74,LOG,2019-01-30T17:55:31.796Z,GRAVITY,wgv,wgv,wgv,bob_15075,94,seq,,,,OB aborted after 426 seconds at 2019-01-30T17:55:31,0,0,,,
75,LOG,2019-01-30T17:08:59.401Z,GRAVITY,wgv,wgv,wgv,bob_ins,128,seq,,,,OB started at 2019-01-30T17:08:59,0,0,,,
76,LOG,2019-01-30T18:17:19.032Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB started at 2019-01-30T18:17:19,0,0,,,
77,LOG,2019-01-30T18:21:11.802Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
78,LOG,2019-01-30T18:14:44.016Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB paused at 2019-01-30T18:14:44,0,0,,,
79,LOG,2019-01-30T18:17:19.032Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
80,LOG,2019-01-30T18:22:03.564Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
81,LOG,2019-01-30T18:22:05.331Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB aborted after 1 seconds at 2019-01-30T18:22:04,0,0,,,
82,LOG,2019-01-31T01:11:48.488Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
83,LOG,2019-01-31T01:12:10.053Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB aborted after 18 seconds at 2019-01-31T01:12:06,0,0,,,
84,LOG,2019-01-31T01:15:57.682Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
85,LOG,2019-01-31T00:48:23.748Z,GRAVITY,wgv,wgv,wgv,bob_ins,47,seq,,,,OB started at 2019-01-31T00:48:23,0,0,,,
86,LOG,2019-01-28T19:36:58.288Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 4206 seconds at 2019-01-28T19:36:58,0,0,,,
87,LOG,2019-01-29T01:18:52.618Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T01:18:52,0,0,,,
88,LOG,2019-01-29T02:35:43.358Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB aborted after 1 seconds at 2019-01-29T02:33:57,0,0,,,
89,LOG,2019-01-29T02:36:40.677Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T02:36:40,0,0,,,
90,LOG,2019-01-29T02:36:40.677Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: SCI_CE_Tau_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265442),0,0,,,
91,LOG,2019-01-29T02:09:05.414Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: CAL_HD_39400_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265415),0,0,,,
92,LOG,2019-01-27T19:52:30.047Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-27T19:52:30,0,0,,,
93,LOG,2019-01-27T19:52:30.047Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
94,LOG,2019-01-29T01:41:53.735Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: SCI_Betelgeuse_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265412),0,0,,,
95,LOG,2019-01-27T04:15:45.639Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,(OBS.NAME: B02_HD63696_MED_SPLIT // OBS.ID: 200452411),0,0,,,
96,LOG,2019-01-26T17:24:50.217Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,OB started at 2019-01-26T17:24:50,0,0,,,
97,LOG,2019-01-27T04:23:45.783Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,OB finished (TERMINATED) in 480 seconds at 2019-01-27T04:23:45,0,0,,,
98,LOG,2019-01-28T00:29:02.554Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 13 seconds at 2019-01-28T00:28:57,0,0,,,
99,LOG,2019-01-28T00:31:30.089Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 14 seconds at 2019-01-28T00:30:25,0,0,,,
100,LOG,2019-01-28T00:28:44.950Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:28:44,0,0,,,
101,LOG,2019-01-28T00:12:50.120Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 17 seconds at 2019-01-28T00:12:26,0,0,,,
102,LOG,2019-01-28T00:13:43.435Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 12 seconds at 2019-01-28T00:13:41,0,0,,,
103,LOG,2019-01-28T00:19:49.410Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,,
104,LOG,2019-01-28T00:09:51.580Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:09:51,0,0,,,
105,LOG,2019-01-27T06:13:05.864Z,GRAVITY,wgv,wgv,wgv,bob_ins,209,seq,,,,OB started at 2019-01-27T06:13:05,0,0,,,
106,LOG,2019-01-27T06:13:19.950Z,GRAVITY,wgv,wgv,wgv,bob_ins,209,seq,,,,OB aborted after 1 seconds at 2019-01-27T06:13:06,0,0,,,
107,LOG,2019-01-27T06:14:09.615Z,GRAVITY,wgv,wgv,wgv,bob_ins,209,seq,,,,OB started at 2019-01-27T06:14:09,0,0,,,
108,LOG,2019-01-26T01:50:53.088Z,GRAVITY,wgv,wgv,wgv,bob_31863,18,seq,,,,ACK ABORT (red),0,0,,,
